Name,State,District,Party,Years_Served,FIPS_Code,CD
"Gottheimer, Josh",New Jersey,05,Democratic,House: 2017-Present,34,3405
"Granger, Kay",Texas,12,Republican,House: 1997-Present,48,4812
"Graves, Garret",Louisiana,06,Republican,House: 2015-Present,22,2206
"Graves, Sam",Missouri,06,Republican,House: 2001-Present,29,2906
"Graves, Tom",Georgia,14,Republican,House: 2010-2020,13,1314
"Green, Al",Texas,09,Democratic,House: 2005-Present,48,4809
"Green, Mark E.",Tennessee,07,Republican,House: 2019-Present,47,4707
"Griffith, H. Morgan",Virginia,09,Republican,House: 2011-Present,51,5109
"Grijalva, Raúl M.",Arizona,07,Democratic,House: 2003-Present,04,0407
"Grothman, Glenn",Wisconsin,06,Republican,House: 2015-Present,55,5506
"Guest, Michael",Mississippi,03,Republican,House: 2019-Present,28,2803
"Guthrie, Brett",Kentucky,02,Republican,House: 2009-Present,21,2102
